p_zendar|Cidade do Lago Nebuloso
p_town_1|Maccan
p_town_2|Forde
p_town_3|Lille
p_town_4|Leuven
p_town_5|Forniron
p_town_6|Lesbere
p_town_7|Vinica
p_town_8|Murdenholl
p_town_9|Voldeberg
p_town_10|Khul Vara
p_town_11|Freising
p_town_12|Arendal
p_town_13|Reichberg
p_town_14|Krain
p_town_15|Elsinore
p_town_16|Galwe
p_town_17|Uliastai
p_town_18|Bulgan
p_town_19|Amarna
p_town_20|Vellinaz
p_town_21|Sut
p_town_22|Arish
p_town_23|Grund
p_town_24|Grozny
p_town_25|Salão da Fonte
p_town_26|Karnoth
p_town_27|Dwallnor
p_town_28|Qaletaqa
p_town_29|Tumatarhun
p_town_30|Venetor
p_castle_1|Castelo Esahil
p_castle_2|Castelo Namauk
p_castle_3|Castelo Hafen
p_castle_4|Castelo Arklow
p_castle_5|Castelo Yorid
p_castle_6|Castelo Federo
p_castle_7|Castelo Demaig
p_castle_8|Castelo Rhenstal
p_castle_9|Fortaleza Azure
p_castle_10|Castelo Julre
p_castle_11|Castelo Verek
p_castle_12|Castelo Laidir
p_castle_13|Castelo Headow
p_castle_14|Castelo Maelond
p_castle_15|Castelo Lyndel
p_castle_16|Castelo Serin
p_castle_17|Castelo Selansir
p_castle_18|Castelo Gral
p_castle_19|Castelo Glatteis
p_castle_20|Castelo Dillac
p_castle_21|Castelo Ianthas
p_castle_22|Castelo Omigan
p_castle_23|Castelo Panmandot
p_castle_24|Castelo Cournin
p_castle_25|Castelo Valellon
p_castle_26|Castelo Riar
p_castle_27|Castelo Kilnar Keep
p_castle_28|Castelo Verlorne
p_castle_29|Castelo Norberg
p_castle_30|Castelo Urlabay
p_castle_31|Castelo Westrey
p_castle_32|Castelo Anlux
p_castle_33|Castelo Efenas
p_castle_34|Castelo Blackfist
p_castle_35|Castelo Enduin
p_castle_36|Castelo Farraige
p_castle_37|Castelo Dasselocht
p_castle_38|Castelo Novark
p_castle_39|Castelo Steinturm
p_castle_40|Castelo Jezatt
p_castle_41|Castelo Aolas
p_castle_42|Castelo Sasspegah
p_castle_43|Castelo Alef
p_castle_44|Castelo Dailin
p_castle_45|Castelo Hasaca
p_castle_46|Posto Avançado do Deserto
p_castle_47|Castelo Samarra
p_castle_48|Castelo Bardaq
p_castle_49|Castelo Alnar
p_castle_50|Castelo Amarhus
p_castle_51|Castelo Fimbul
p_castle_52|Castelo Wotin
p_castle_53|Orgulho do Falcão
p_castle_54|Garra do Falcão
p_castle_55|Cabeça do Falcão
p_castle_56|Olho do Falcão
p_castle_57|Águas do Falcão
p_castle_58|Fortaleza do Estilhaço
p_castle_59|Fortaleza Barbalonga
p_castle_60|Fortaleza Kahhadir
p_castle_61|Fortaleza Hornogoth
p_castle_62|Castelo Tabranpadan
p_castle_63|Castelo Steorac
p_castle_64|Castelo Huradan
p_castle_65|Forte Trilond
p_castle_90|Forte Zann
p_village_1|Galbar
p_village_2|Arcross
p_village_3|Yascon
p_village_4|Ander
p_village_5|Bravan
p_village_6|Soveil
p_village_7|Ellcour
p_village_8|Stuin
p_village_9|Tempe
p_village_10|Kolines
p_village_11|Lifwen
p_village_12|Esari
p_village_13|Logebur
p_village_14|Mistelholz-Kollern
p_village_15|Valellon
p_village_16|Bebbanburg
p_village_17|Wittinghausen
p_village_18|Angern
p_village_19|Horitzdorf
p_village_20|Krumau
p_village_21|Vogeltenne
p_village_22|Rossenberg
p_village_23|Themar
p_village_24|Arcady
p_village_25|Ubi Dahae
p_village_26|Pluvian
p_village_27|Cuetlu
p_village_28|Malarkona
p_village_29|Acampamento dos Colonos Zann
p_village_30|Pomelach
p_village_31|Nath Nabon
p_village_32|Neary
p_village_33|Belseaud
p_village_34|Hoxbend
p_village_35|Tourlin
p_village_36|Lewin
p_village_37|Mdippre
p_village_38|Varote
p_village_39|Galmel
p_village_40|Slenor
p_village_41|Ganeguiba
p_village_42|Sekhtem
p_village_43|Chelnye
p_village_44|Kusba
p_village_45|Zebekr
p_village_46|Solune
p_village_47|Fasera
p_village_48|Chriton
p_village_49|Ruckendorf
p_village_50|Hodlwald
p_village_51|Asheld
p_village_52|Pedrodes
p_village_53|Starade
p_village_54|Nerana
p_village_55|Dubehal
p_village_56|Jefcir
p_village_57|Livres
p_village_58|Unterhaid
p_village_59|Dellon
p_village_60|Tennelted
p_village_61|Ers
p_village_62|Reichenau
p_village_63|Hulim
p_village_64|Istle
p_village_65|Suvant
p_village_66|Lagenbruck
p_village_67|Liebesdorf
p_village_68|Ianthas
p_village_69|Vynde
p_village_70|Cymbelis
p_village_71|Lisgal
p_village_72|Kenett
p_village_73|Umagroth
p_village_74|Kohlgruben
p_village_75|Ozak
p_village_76|Qir
p_village_77|Gantahir
p_village_78|Oyens
p_village_79|Waveshore
p_village_80|Roquall
p_village_81|Tepna
p_village_82|Kahr
p_village_83|Olsway
p_village_84|Nettlemist
p_village_85|Teufelstein
p_village_86|Breitenschlag
p_village_87|Ziering
p_village_88|Zedouhkan
p_village_89|Doett
p_village_90|Lior
p_village_194|Krysinia
p_village_91|Onmesp
p_village_92|Wahran
p_village_93|Casari
p_village_94|Notloc
p_village_95|Ferago
p_village_96|Kaibel
p_village_97|Afenbol
p_village_98|Mopon
p_village_99|Reness
p_village_100|Tollua
p_village_101|Feylig
p_village_102|Dumaniyye
p_village_103|Sokrit
p_village_104|Hustaj
p_village_105|Dydal
p_village_106|Inoqtec
p_village_107|Esca
p_village_108|Noubra
p_village_109|Hesh Danlis
p_village_110|Zalea
p_village_111|Mor
p_village_112|Vole
p_village_113|Jikloa
p_village_114|Enga
p_village_115|Skapta
p_village_116|Reyoarfell
p_village_117|Grenmarr
p_village_118|Jorundarfell
p_village_119|Kaldrus
p_village_120|Moberg
p_village_121|Águas Claras
p_village_122|Brilho da Destreza
p_village_123|Bosques Sagrados
p_village_124|Montanha Primavera
p_village_125|Ponta Salão
p_village_126|Cortecouro
p_village_127|Tombo de Miles
p_village_128|O Triunfo de Brennan
p_village_129|Troer
p_village_130|Locktich
p_village_131|Colinartelo
p_village_132|Pique de Pedras
p_village_133|Dwallhaven
p_village_134|Norelokk
p_village_135|Ambolian
p_village_136|Tollhoul
p_village_137|Cova do Açougueiro
p_village_138|Lakkill
p_village_139|Chuvas de Greeve
p_village_140|Atcez
p_village_141|Bolinc
p_village_142|Banuk
p_village_143|Illnitak
p_village_190|Turan
p_village_191|Adat
p_village_192|Kesser
p_village_193|Heruclo
p_village_200|Dymorial
p_salt_mine|Lar de Abelhas
p_four_ways_inn|Estalagem Quatro Estações
p_test_scene|cenário de teste
p_battlefields|campos de batalha
p_dhorak_keep|Fortaleza Dhorak
p_training_ground|Campo de Treinamento
p_training_ground_1|Campo de Treinamento
p_training_ground_2|Campo de Treinamento
p_training_ground_3|Campo de Treinamento
p_training_ground_4|Campo de Treinamento
p_training_ground_5|Campo de Treinamento
p_steppe_bandit_spawn_point|a estepe
p_steppe_bandit_spawn_point_1|a estepe
p_taiga_bandit_spawn_point|a tundra
p_taiga_bandit_spawn_point_1|a tundra
p_taiga_bandit_spawn_point_2|a tundra
p_forest_bandit_spawn_point|a floresta
p_forest_bandit_spawn_point_1|a floresta
p_mountain_bandit_spawn_point|as terras altas
p_sea_raider_spawn_point_1|a costa
p_sea_raider_spawn_point_2|a costa
p_desert_bandit_spawn_point|o deserto
p_rafklazan_sp|Invasores de Rafklazan
p_nibor_sp|Bandidos de Nibor
p_foreigners_sp|estrangeiros sp
p_assassin_sp|assassinos sp
p_falki_sp|falki sp
p_amazons_sp|a floresta amazônica
p_eagle_sp|águia sp
p_eagle1_sp|águia1 sp
p_eagle2_sp|águia2 sp
p_demon_sp|demônio sp
p_demon1_sp|demônio1 sp
p_demon2_sp|demônio2 sp
p_demonarmy_sp|demônioexérc sp
p_eaglearmy_sp|águiaexérc sp
p_onishi_sp|Guerreiros Kamikaze
p_yachamoci_sp|Guerreiros Kamikaze
p_imperial_scout_sp|batedores imperiais sp
p_lymbard_sp|Lymbard
p_desouk_sp|Escravos Desouk
p_wolf_sp|Cavaleiros Lobo
p_wolfarmy_sp|Bando de Guerra dos Cavaleiros Lobo
p_geldar_sp|Geldarin Naphali
p_torlan_sp|Tolrania
p_amara_sp|Reich
p_zengi_sp|Drahara
p_culgrah_sp|Maccavia
p_faradon_sp|Elintor
p_esarion_sp|Hakkon
p_zolona_sp|Bandidos de Zolona
p_ulfheonar_sp|Os Berserkers Volheere
p_rivermen_sp|o lago
p_legionscout_sp|Batedores da Legião
p_zeladeck_sp|zeladeck
p_pioneer_sp|pioneiros
p_pioneer_sp_1|pioneiros
p_aroulo_sp|aroulianos
p_aroulo_sp_1|aroulianos
p_mosoru_sp_1|o deserto
p_klymorian_sp_1|Klymorian Konqunites
p_klymorian_sp_2|Klymorian Konqunites
p_klymorian_sp_3|Klymorian Konqunites
p_aroulo_backtory_sp|meio do nada
p_zann_outpost|Posto Avançado Zann
p_castle_merc_guild|Guilda Mercenária
p_freelancer_outpost|Posto Avançado Freelancer
p_volheere_sp|volheere sp
p_third_legion_fort|Posto Avançado da Terceira Legião
p_third_legion_stronghold|Fortaleza Abandonada
p_grazir_shrine|Santuário de Grazir
p_fountain_temple|Templo da Fonte
p_great_library|Grande Biblioteca
p_mysterious_place|Lugar Misterioso
p_perisno_inn_1|Estalagem da Floresta Negra
p_parties_end|fim dos grupos
